
# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                      54.50
8                      50.36
16                     48.95
32                     48.78
64                     49.87
128                    49.05
256                    49.93
512                    52.17
1024                   53.21
2048                   55.34
4096                   62.64
8192                   71.82
12288                 223.94
16384                 226.11
20480                 235.74
24576                 243.31
28672                 244.47
32768                 253.56
36864                 265.00
40960                 276.27
45056                 274.07
49152                 275.14
53248                 287.29
57344                 285.82
61440                 295.12
65536                 300.92
69632                 311.82
73728                 320.71
77824                 325.40
81920                 333.01
86016                 341.75
90112                 356.76
94208                 363.14
98304                 371.45
102400                381.88
106496                390.80
110592                403.60
114688                410.94
118784                416.11
122880                444.23
126976                446.94
131072                465.67
135168                476.79
139264                485.92
143360                486.91
147456                486.71
151552                495.15
155648                493.66
159744                495.94
163840                499.80
167936                509.18
172032                516.26
176128                532.76
180224                553.94
184320                562.30
188416                570.41
192512                580.25
196608                588.84
200704                586.54
204800                596.68
208896                610.79
212992                594.55
217088                608.03
221184                605.54
225280                607.84
229376                606.99
233472                617.05
237568                620.61
241664                623.88
245760                630.27
249856                643.72
253952                656.12
258048                672.38
262144                962.70
266240                979.37
270336                949.77
274432                960.10
278528                959.69
282624                951.62
286720                950.85
290816                965.54
294912                976.10
299008                983.08
303104               1001.98
307200                976.29
311296                986.48
315392                993.94
319488               1008.68
323584               1010.79
327680               1037.76
331776               1019.30
335872               1036.25
339968               1062.11
344064               1071.27
348160               1045.30
352256               1098.25
356352               1096.46
360448               1062.78
364544               1068.40
368640               1083.24
372736               1078.05
376832               1106.47
380928               1110.55
385024               1123.46
389120               1138.77
393216               1153.71
397312               1150.01
401408               1148.75
405504               1153.39
409600               1174.67
413696               1177.42
417792               1158.93
421888               1171.44
425984               1162.97
430080               1169.36
434176               1218.53
438272               1209.87
442368               1228.44
446464               1256.79
450560               1242.15
454656               1256.38
458752               1265.16
462848               1267.69
466944               1259.02
471040               1289.87
475136               1281.09
479232               1281.69
483328               1281.32
487424               1274.50
491520               1284.68
495616               1279.43
499712               1296.79
503808               1323.23
507904               1324.79
512000               1359.14
516096               1393.14
520192               1400.97
524288               1416.60
528384               1409.36
532480               1442.94
536576               1403.90
540672               1422.66
544768               1421.16
548864               1444.10
552960               1429.98
557056               1453.47
561152               1452.62
565248               1436.32
569344               1438.57
573440               1455.68
577536               1467.41
581632               1483.49
585728               1499.97
589824               1491.34
593920               1497.78
598016               1518.04
602112               1503.86
606208               1510.17
610304               1541.22
614400               1536.08
618496               1529.84
622592               1546.64
626688               1548.01
630784               1547.64
634880               1574.45
638976               1611.12
643072               1607.79
647168               1623.03
651264               1619.59
655360               1612.08
659456               1623.50
663552               1625.94
667648               1619.48
671744               1631.14
675840               1618.07
679936               1627.78
684032               1663.34
688128               1654.27
692224               1671.44
696320               1663.06
700416               1667.19
704512               1683.69
708608               1705.97
712704               1713.89
716800               1732.76
720896               1740.26
724992               1744.58
729088               1783.06
733184               1759.48
737280               1764.72
741376               1774.64
745472               1779.12
749568               1783.70
753664               1805.19
757760               1799.19
761856               1814.24
765952               1818.32
770048               1833.97
774144               1850.88
778240               1835.53
782336               1828.89
786432               1828.45
790528               1837.00
794624               1875.01
798720               1834.72
802816               1831.78
806912               1846.46
811008               1842.70
815104               1895.71
819200               1883.51
823296               1848.96
827392               1853.41
831488               1878.16
835584               1906.19
839680               1901.84
843776               1888.12
847872               1890.49
851968               1904.71
856064               1937.52
860160               1940.70
864256               1939.07
868352               1934.06
872448               1953.67
876544               2002.32
880640               1975.66
884736               1983.67
888832               1999.67
892928               2029.38
897024               2097.41
901120               2114.57
905216               2106.50
909312               2127.01
913408               2136.54
917504               2141.28
921600               2110.52
925696               2121.94
929792               2139.41
933888               2202.85
937984               2097.31
942080               2120.45
946176               2117.67
950272               2108.98
954368               2131.94
958464               2107.55
962560               2118.79
966656               2101.75
970752               2208.44
974848               2187.89
978944               2187.68
983040               2193.99
987136               2211.02
991232               2208.99
995328               2208.24
999424               2230.02
1003520              2218.53
1007616              2245.26
1011712              2240.31
1015808              2243.43
1019904              2238.88
1024000              2276.23
1028096              2212.63
1032192              2244.02
1036288              2230.29
1040384              2247.32
1044480              2262.94
1048576              2251.96
